date,visits,seconds
2025-07-13,996,61391.01
2025-07-14,1338,72112.94
2025-07-15,1226,68129.13
2025-07-16,491,51644.21
2025-07-17,775,186896.37
2025-07-18,659,106946.69
2025-07-19,377,32088.76
2025-07-20,1308,80581.75
2025-07-21,528,51385.34
2025-07-22,842,131334.61
2025-07-23,1147,77669.38
2025-07-24,586,92056.58
2025-07-25,717,75880.18
2025-07-26,1051,112290.29
2025-07-27,437,129107.37
2025-07-28,1121,94503.05
2025-07-29,933,89118.02
2025-07-30,785,136087.98
2025-07-31,1322,107169.52
2025-08-01,1853,123225.12
2025-08-02,1155,109422.0
2025-08-03,1854,73052.41
2025-08-04,3128,129223.85
2025-08-05,1818,133423.47
2025-08-06,3781,223779.3
2025-08-07,1669,252264.87
2025-08-08,3402,71199.78
2025-08-09,2249,86777.73
2025-08-10,1461,69404.75
2025-08-11,3110,52197.26
2025-08-12,1958,195522.68
2025-08-13,2202,118438.69
2025-08-14,1926,140711.28
2025-08-15,1729,112757.13
2025-08-16,1383,68613.69
2025-08-17,1259,70226.46
2025-08-18,1943,105686.39
2025-08-19,1579,78066.34
2025-08-20,1228,47580.04
2025-08-21,1959,145555.48
2025-08-22,1198,61700.68
2025-08-23,365,28502.2
2025-08-24,678,138759.59
2025-08-25,1822,109374.05
2025-08-26,2063,67828.65
2025-08-27,841,97680.24
2025-08-28,801,93861.52
2025-08-29,2229,69073.32
2025-08-30,731,48396.87
2025-08-31,551,97518.28
2025-09-01,705,120273.46
2025-09-02,1370,236086.04
2025-09-03,1108,133834.46
2025-09-04,1111,131576.33
2025-09-05,863,119950.3
2025-09-06,567,140001.2
2025-09-07,860,60132.35
2025-09-08,792,205786.8
2025-09-09,866,88843.77
2025-09-10,1124,87453.57
2025-09-11,772,63878.5
2025-09-12,640,59289.04
2025-09-13,355,58191.83
2025-09-14,369,145339.19
2025-09-15,653,44942.6
2025-09-16,588,29846.4
2025-09-17,335,46240.35
2025-09-18,510,87340.86
2025-09-19,604,154574.65
2025-09-20,646,95112.55
2025-09-21,879,69619.99
2025-09-22,1103,305483.74
2025-09-23,762,71471.59
2025-09-24,883,141732.83
2025-09-25,837,105981.5
2025-09-26,1271,172176.4
2025-09-27,736,236068.63
2025-09-28,504,116792.19
2025-09-29,731,89288.44
2025-09-30,904,111487.19
2025-10-01,836,100922.69
2025-10-02,1484,132550.06
2025-10-03,765,57857.3
2025-10-04,358,3784.79
