Sector,Occupation,Compensation
Real Estate and Rental and Leasing,Concierges,1.80
Real Estate and Rental and Leasing,Counter and Rental Clerks,17.42
Real Estate and Rental and Leasing,"Property, Real Estate, and Community Association Managers",24.54
Real Estate and Rental and Leasing,Real Estate Brokers,4.55
Real Estate and Rental and Leasing,Real Estate Sales Agents,13.53
Manufacturing,Buyers and Purchasing Agents,39.79
Manufacturing,First-Line Supervisors of Production and Operating Workers,51.07
Manufacturing,Industrial Engineers,37.79
Manufacturing,Mechanical Engineers,31.57
Manufacturing,"Shipping, Receiving, and Inventory Clerks",38.50
"Professional, Scientific, and Technical Services",Accountants and Auditors,135.44
"Professional, Scientific, and Technical Services",Computer and Information Systems Managers,121.44
"Professional, Scientific, and Technical Services",Lawyers,136.66
"Professional, Scientific, and Technical Services",Project Management Specialists,108.77
"Professional, Scientific, and Technical Services",Software Developers,239.18
Government,Administrative Services Managers,32.03
Government,"Child, Family, and School Social Workers",24.10
Government,Compliance Officers,33.80
Government,First-Line Supervisors of Police and Detectives,17.00
Government,Recreation Workers,11.51
Health Care and Social Assistance,First-Line Supervisors of Office and Administrative Support Workers,107.02
Health Care and Social Assistance,Medical Secretaries and Administrative Assistants,37.87
Health Care and Social Assistance,Medical and Health Services Managers,77.93
Health Care and Social Assistance,Nurse Practitioners,40.58
Health Care and Social Assistance,Registered Nurses,323.05
Finance and Insurance,Customer Service Representatives,123.70
Finance and Insurance,Financial Managers,147.74
Finance and Insurance,Financial and Investment Analysts,39.67
Finance and Insurance,Personal Financial Advisors,43.33
Finance and Insurance,"Securities, Commodities, and Financial Services Sales Agents",52.14
Retail Trade,First-Line Supervisors of Retail Sales Workers,58.27
Retail Trade,General and Operations Managers,477.16
Retail Trade,Pharmacists,45.12
Retail Trade,Private Detectives and Investigators,2.39
Wholesale Trade,First-Line Supervisors of Non-Retail Sales Workers,21.43
Wholesale Trade,Order Clerks,3.86
Wholesale Trade,Sales Managers,97.16
Wholesale Trade,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",33.66
Wholesale Trade,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",103.21
Information,Audio and Video Technicians,4.30
Information,Editors,8.18
Information,Film and Video Editors,2.41
Information,"News Analysts, Reporters, and Journalists",4.41
Information,Producers and Directors,16.60
