"distance","passenger_count","avg_tip_pct","trips"
0,1,0.1260681450318668,50645102
0,5,0.15143005485341568,2735116
1,1,0.13546577464688994,341340546
1,5,0.164461150475745,29348150
2,1,0.13708608699567557,249486862
2,5,0.1550813609392106,21232578
3,1,0.13352811425561725,113569014
3,5,0.14716047100986204,10940796
4,1,0.13180866667169325,69383534
4,5,0.14182914631126528,6153784
5,1,0.12868199409434414,36956074
5,5,0.1403546339014342,3627932
6,1,0.12807220384391657,26532948
6,5,0.1395657689845747,2359064
7,1,0.12552409073702078,15816246
7,5,0.13846987970651395,1537450
8,1,0.13808971516473245,13693722
8,5,0.1461537017100611,1218428
9,1,0.1535240176553927,12102056
9,5,0.1593388740868105,1226546
10,1,0.1577745192857088,12102654
10,5,0.16153626707023314,1138682
11,1,0.15067405824392155,8174782
11,5,0.1571028943223444,864622
12,1,0.14068778214936023,5934366
12,5,0.14802644759467337,563940
13,1,0.13221581344494038,3227352
13,5,0.14255207591713073,324804
14,1,0.12558496723890217,2546202
14,5,0.13539445292875593,228852
15,1,0.1241105587461286,2027652
15,5,0.13498820616563345,198920
16,1,0.13366783098218676,2916838
16,5,0.13999621455183373,266648
17,1,0.13156094393634557,4362760
17,5,0.13834452162314176,467806
18,1,0.12763165763260334,5194214
18,5,0.13383857392501244,540624
19,1,0.1300087472034849,2985238
19,5,0.13887427569719452,329458
20,1,0.1315017651221911,2019274
20,5,0.14090133986709613,202938
21,1,0.12695117348101875,1294972
21,5,0.13716799135586624,140256
22,1,0.11728153648179297,768690
22,5,0.12702813972732027,74452
23,1,0.10401372343265712,308200
23,5,0.11658032401189138,30706
24,1,0.10192243406782292,195678
24,5,0.11211971023331736,16272
25,1,0.10023584955542296,121122
25,5,0.11337037991451233,10492
26,1,0.10189199221907674,113292
27,1,0.10060249099731917,88816
28,1,0.11076727417927444,95242
29,1,0.10448199571971974,61914
30,1,0.1075866202617848,23268
