"dow","passenger_count","avg_tip_pct","trips"
1,1,0.13658477718179268,130236906
2,1,0.14065904794957756,143502820
3,1,0.14123818059530116,149489424
4,1,0.14009202773700066,152860270
5,1,0.1343070037504932,152653266
6,1,0.12232921043848953,138840534
7,1,0.12525980541346757,122727006
1,2,0.13060620375691162,22811314
2,2,0.13551355899204173,24303272
3,2,0.13680658148487063,25448320
4,2,0.13661722566408824,26749052
5,2,0.1336424694171131,29317902
6,2,0.12964246725560358,33925722
7,2,0.13077006277833716,28886242
1,5,0.15545667860794302,10691728
2,5,0.15973041657732825,12084302
3,5,0.16059797851174432,12705366
4,5,0.1595471862637744,13113768
5,5,0.15433370468301508,13243866
6,5,0.14431956159168036,12889442
7,5,0.1452068952888458,11291326
