"passenger_count","hour","avg_tip_pct","trips"
1,0,0.14218758387017785,36672356
1,1,0.1418290568113465,27144794
1,2,0.1413463252550015,20170786
1,3,0.1359620030880635,14855476
1,4,0.12041781860704914,11260156
1,5,0.12372949707984417,10701694
1,6,0.1290252433482578,22803478
1,7,0.13880990634676404,38712784
1,8,0.1424379727039828,48727242
1,9,0.13954117215508638,50220504
1,10,0.13034107180868135,46404130
1,11,0.1263836669053281,46615632
1,12,0.12586863857155903,48607698
1,13,0.1239486706969856,48010574
1,14,0.12209099682676225,49605956
1,15,0.11914478907915557,47197682
1,16,0.12126698310961707,41578030
1,17,0.1285776951932369,49284408
1,18,0.1371742372269084,59248642
1,19,0.14268771191845175,60785974
1,20,0.14484181422730802,57701738
1,21,0.14511845017932665,55389490
1,22,0.1449110299749075,52418166
1,23,0.14334145565424727,46192836
2,0,0.1491502795696624,8722436
2,1,0.15054141570454893,6439492
2,2,0.15145584964355757,4793738
2,3,0.14666373637271496,3450308
2,4,0.1292253920953913,2271652
2,5,0.11739946342586648,1508152
2,6,0.1166878427482861,2537352
2,7,0.12761609041640504,4546836
2,8,0.1343935732451079,6269884
2,9,0.1284080744207993,6644074
2,10,0.12100974324704937,7243268
2,11,0.11968679623495522,8049212
2,12,0.11970097584610258,8803686
2,13,0.11847171983872087,9065092
2,14,0.11806813008274036,9595948
2,15,0.11654418519298797,9426546
2,16,0.11917001579672497,8599652
2,17,0.12539823825736685,10159652
2,18,0.13309481924778094,12013022
2,19,0.1400738384605187,12709512
2,20,0.14370091028973261,12248538
2,21,0.14477425081345638,12609860
2,22,0.14658172277428108,12605590
2,23,0.1479612816813775,11128322
5,0,0.1608423923331009,3544954
5,1,0.16066993943528365,2608978
5,2,0.16055602496717028,1944444
5,3,0.15535827729213458,1441836
5,4,0.14076463231746522,1021948
5,5,0.14220293605279016,780508
5,6,0.14505579437478244,1589038
5,7,0.15424848094754964,2924168
5,8,0.1586330381963911,3890006
5,9,0.15629065630622271,4066480
5,10,0.1492440814800216,3793522
5,11,0.1465268497169734,3855196
5,12,0.14646977061960173,4017722
5,13,0.14463585239366078,3956988
5,14,0.1433743245320274,4133852
5,15,0.14235709609101713,3991094
5,16,0.14700391613123795,3458502
5,17,0.15045469479366508,4207040
5,18,0.1563357749575253,5234726
5,19,0.16094397797018054,5535098
5,20,0.1624449447832342,5328194
5,21,0.1628478920483118,5220480
5,22,0.16253130113998498,5015956
5,23,0.1614669852461381,4459068
