"passenger_count","trips","avg_tip","avg_tip_pct"
1,994291216,1.5449613174327623,0.13593894345272747
2,191926006,1.5806469407233075,0.13375715113866546
3,54703406,1.489959924012788,0.13040538026304696
4,24908320,1.385551114897338,0.11871860572839196
5,86243500,1.738463036398642,0.15636373450044339
6,34934790,1.4955488212133348,0.12422348456642121
7,2516,0.44774244930032514,0.013548274967107102
8,2450,0.358661225267819,0.010033292970152347
9,1234,1.1201944934684223,0.03296024359092508
10,28,3.6750000034059798,0.11573578430441318
13,2,2.5,0.08771929824561403
15,4,2,0.2045855350117709
17,2,4.260000228881836,0.20000001790937746
25,2,1.2000000476837158,0.24489796414865836
33,2,2,0.3076923076923077
34,2,2,0.15037593769308769
36,2,11.25,0.25
49,32,0,0
51,2,2,0.21505375903029578
58,4,4,0.24591815775272124
61,2,4.340000152587891,0.2
66,2,1.5,0.0867052061358857
84,2,5,0.14836794916333051
97,2,2,0.28985506845757486
125,2,2,0.1418439677936752
129,6,1.3333333333333333,0.1826789207590365
134,2,5,0.1111111111111111
137,2,9,0.2
141,2,2,0.1769911474550104
155,2,46.599998474121094,1.210389570756392
158,2,2,0.2739725955813527
160,2,2,0.2597402661742239
163,2,1,0.11235955537772684
164,2,8,0.16494845360824742
165,2,0.8999999761581421,0.14754098200471255
169,2,6,0.13333333333333333
177,2,1,0.06451612903225806
208,518,0.529189182351915,0.1281736155665953
211,2,2,0.4444444444444444
213,8,0,0
223,2,1.5,0.23076923076923078
225,2,3,0.24
232,2,0,0
247,2,2.299999952316284,0.19999999585358993
250,2,1,0.0884955737275052
255,8,1.4350000023841858,0.1835582593863641
